Abbrecherquote	Abbruchquote
Dozententätigkeit	Lehrtätigkeit
Drachenlord	herrschende Drachenperson
Dritter	dritte Person
Drittanbieter (sg.)	Drittanbietende; externe Unternehmen
Editor	herausgebende Person
Ehegatte	die Ehe teilende Person; Ehemensch; Eheherzperson; Herzmensch; Herzensmensch
Ehegatten	Eheleute
Ehepartner (sg.)	geehelichte Person; Ehemensch
Ehrenamtler (pl.)	Ehrenamtliche; Freiwillige; (ehrenamtlich) Engagierte
Ehrenmann	Ehrenperson
Eigentümer	(im) Eigentum von ...
... Immobilien- / Hauseigentümer (sg.)	... Eigentumspartei; das Eigentum am Haus innehabende Person
... Immobilien- / Hauseigentümer (pl.)	... Vermietende;
Eigentümerversammlung	Versammlung der Beteiligten am Wohneigentum; Versammlung der Besitzenden
Eigner	s. Eigentümer
Einbrecher (pl.)	einbrechende Personen
Einflussnehmer (sg.)	Einfluss nehmende Person; Person, die Einfluss nimmt
Einflussnehmer (pl.)	Einflussnehmende
Einkäufer	einkaufende Person
Einlader	einladende Person
Ein-Mann-Betrieb	Ein-Personen-Betrieb
einer nach dem anderen	der Reihe nach
einem selbst	dir selbst
Einsteigerkurs	Einstiegskurs; Grundlagenkurs; Grundkurs; Basiskurs
Einwanderer (pl.)	Menschen mit Migrationshintergrund /-geschichte /-biografie; Menschen mit internationaler Geschichte
Einwandererfamilien	Familien mit Migrationshintergrund /-geschichte; Familien mit internationaler Geschichte
Einwohner (pl.)	die Menschen der Stadt XY; Population; Bevölkerung; gemeldete Personen
... 2000 Einwohner/km2	... 2000 gemeldete Personen/km2
Einwohnerdichte	Bevölkerungsdichte
Einwohnerzahl	Bevölkerungszahl; Anzahl der Einwohnenden
Einzelgänger	alleinliebende Person
Einzelhändler	Person des Einzelhandels; Betrieb im Einzelhandel; im Einzelhandel tätige Person
Einzelkämpfer (pl.)	Einzelkämpfende; Kriegsteilnehmende
Einzelner	alle; die einzelne Person
... jeder Einzelne	... alle; jede einzelne Person
Einzelne	[im Plural ist dieses Wort schon gendergerecht]
Einziger	einzige Person
Elektriker	Fachkraft für Elektrotechnik
Elektroniker (sg.)	Elektrofachkraft
Elektrotechniker	Fachkraft für elektrotechnische Anlagen
Elternzeitrückkehrer (pl.)	Mitarbeitende, die aus der Elternzeit zurück kommen; Elternzeitrückkehrende; Beschäftigte nach der Elternzeit
Emittent	Wertpapierherausgebende Person
Empfänger (sg.)	empfangsberechtigte Person; empfangen von ... ; für ... ; bestimmt für ...
Empfangsdame	Empfang; Person/Personal am Empfang; Rezeption
Endverbraucher (pl.)	Endverbrauchende; Endkonsumierende
Energieversorger	Energieversorgungsunternehmen
Enkel (sg.)	Enkelkind; Kindeskind
Entdecker (sg.)	entdeckt von ...
Entdecker (pl.)	entdeckt von ... ; entdeckende Personen /Kinder; Forschende; Entdeckende
Enthusiast	enthusiastische Person; begeisterte Person
Enthusiasten	Begeisterte
Entscheider (sg.)	Entscheidung fällende Person; entscheidungsbefugte Person
Entscheidungsträger (sg.)	Person mit Entscheidungsbefugnis
Entscheidungsträger (pl.)	Entscheidungtragende
... politische Entscheidungsträger	... politische Entscheidungstragende
Entwickler (pl.)	Entwicklungsteam; Entwickelnde; Erfindende; Ideenfindende; Entwicklungsabteilung
Erbauer (pl.)	Konstruierende; Erschaffende; erbaut von ...; ein Bau von ...
Erbe	erbberechtigte Person
Erben	Erbberechtigte
Erblasser	vererbende Person; Erbe hinterlassende Person
Erfinder	erfindende Person; ideenfindende Person
Erfüllungsgehilfe	bei der Erfüllung behilfliche Person
Ergotherapeut	in der Ergotherapie tätige Person
Erkrankter	erkrankte Person
Ermittler (pl.)	Ermittelnde; Ermittlungsteam
Errichter	errichtet von ...
Ersteller	erstellt von ...
Ersthelfer (sg.)	erste Hilfe leistende Person; in Erster Hilfe geschulte Person
Ersthelfer (pl.)	Ersthelfende
Erstsemester (pl.)	Studierende im ersten Semester; Ersti
Erwachsener	erwachsene Person
Erwachsene (pl.)	[dieser Begriff ist im Plural bereits genderneutral]
Erzähler (sg.)	erzählende Figur; erzählende Person; Erzählinstanz
Erzähler (pl.)	Erzählende
Erzeuger	ein Produkt erzeugende Person
... landwirtschaftliche Erzeuger	... landwirtschaftlich (Produkt-)Erzeugende; Produzierende von landwirtschaftlichen Produkten
Erzieher (sg.)	pädagogische Fachkraft; Erziehungskraft
Erziehungsberechtigter	erziehungsberechtigte Person
Erziehungsberechtigte	[im Plural ist dieses Wort schon gendergerecht]
Ethnologe	Person mit Fachwissen in Ethnologie; Person mit ethnologischer Expertise
EU-Kommissar	EU-Kommissionsmitglied
Evakuierungshelfer (sg.)	Evakuierungshilfe; in Evakuierungshilfe geschulte Person; Evakuierungshilfe leistende Person
Evaluator	auswertende / beurteilende / bewertende / Gutachten gebende / evaluierende Person
Exot [z.B. innerhalb eines Faches]	Ausnahmeerscheinung
Experte (sg.)	Fachgröße; Autorität; Koryphäe; Person vom Fach; Genie
Experten (pl.)	Fachkräfte; Fachleute; Fachpersonen; Fachkundige; Sachverständige
Expertengruppe	Fachgruppe; Arbeitsgruppe
Experteninterview	Expertiseinterview; Interview mit Fachleuten
Expertenkommission	Fachkommission; Kommission von Fachleuten
Expertenrating	Rating von Fachleuten
Expertenschätzung	Schätzung von Fachleuten; nach Einschätzung von Fachleuten; Expertise
Expertenstandard	Fachstandard
Expertentagung	Fachtagung
Expertentum	Expertise
Expertenvortrag	Fachvortrag
Expertenwissen	Fachwissen; Expertise
Extremist	radikalisierte Person
Facharbeiter (pl.)	Facharbeitende
Facharzt	(fach-)ärztliche Fachkraft; Fachpraxis
Facharztrichtung	medizinische Fachrichtung
... Ärzte aus verschiedenen Facharztrichtungen	... Ärztinnen und Ärzte aus verschiedenen Fachrichtungen
Fachberater	Fachberatung
(Informatikfachkraft) eher nicht zu empfehlen, denn die Bezeichnung Fachinformatiker ist ein staatlich anerkannter Ausbildungsberuf; Informatikfachkraft ein
Fachinformatiker	Sammelbegriff für Menschen in der IT, auch ohne Ausbildung.
Fachmann	Fachkraft
... Rat eines Fachmannes	... fachkundiger Rat; fachlicher Rat
fachmännisch	fachkundig; professionell; fachlich
Fachwissenschaftler (pl.)	Fachforschende
Fahrer (sg.)	Fahrdienst; Person des Wagens XX
Fahrer (pl.)	Fahrzeugführende; Fahrende; Fahrdienst
Fahrerhaus	Cockpit
Fahrerkabine	Fahrkabine; Steuerungskabine
Fahrersitz	Cockpitsitz; Sitz der fahrenden Person
Fahrgast	mitreisende Person; gegen Entgelt transportierte Person
Fahrgäste	Mitfahrende; Reisende
Fahrgastraum	Abteil; Personenbeförderungsräume
Fahrradfahrer (pl.)	Fahrrad Fahrende; wer mit dem Fahrrad unterwegs ist ...
... Fahrradfahrer müssen absteigen.	... Fahrräder bitte nur schieben.
Fahrschüler (pl.)	Fahrlernende
Fahrschullehrer	Fahrschullehrkraft
Fahrzeugführer	fahrzeugführende Person; Fahrzeugführung
Fahrzeuglenker (sg.)	Fahrzeug lenkende Person
Familienbegleiter (sg.)	Familienbegleitung; Familien begleitende (Fach-)Kraft
Familienhelfer (sg.)	Familienhilfe; Familien unterstützende (Fach-)Kraft; die die Familie X. unterstützende Fachperson/Fachkraft
Fan	in besonderem Maße begeisterte Person
Fans	Begeisterte
... Basketballfans	... Basketballbegeisterte
Faschist	dem Faschismus anhängende Person
Fasnächtler (pl.)	Fasnachtbegeisterte
Favorit [nur bei Personen]	favorisierte (antretende) Person; favorisierte Option; bevorzugte Person; Liebling
Feigling	feige Person; Angsthase
Feind	verfeindete Person
Feinschmecker	Genussmensch
Feministin	feministische / feministisch eingestellte Person
Fertiger (sg.)	fertigende Person
Fetischist	Person mit einem Fetisch
Feuerwehrmänner	Einsatzkräfte der Feuerwehr; Feuerwehrangehörige; Feuerwehr; Feuerwehrleute; Feuerbekämpfende
Filmemacher (sg.)	filmschaffende Person
Filmemacher (pl.)	Filmschaffende
Filmstar	Filmgröße; Filmberühmtheit
Finalist	am Finale teilnehmende Person
Finalisten	am Finale Teilnehmende
Finanzbeauftragter	finanzbeauftragte Person
Finanzintermediäre	Anbietende von Finanzintermediation; Finanzintermediierende
Fischer	Fisch fangende Person
Flüchtlinge (pl.)	Geflüchtete; Flüchtende; geflüchtete Menschen
FÖJler (pl.)	FÖJ-Freiwillige
Follower (pl.)	Follis; Follows
Förderer (sg.)	Stelle, die Fördermittel vergibt; Person, die Fördermittel vergibt; fördernde Person
Förderer (pl.)	unterstützender Personenkreis
Fördermittelgeber	Stelle, die Fördermittel vergibt; fördermittelgebende Stelle/Institution
Forscher (pl.)	Forschende; Universitätsmitglieder; wissenschaftliches Personal der Universität; Menschen, die in der Forschung tätig sind; Forschungsteam
Forschergemeinde	Forschungsgemeinde
Forscherkolloquium	Forschungskolloquium
Forscherteam	Forschungsteam
Förster (pl.)	Beschäftigte in der Forstwirtschaft
Forstwart	Forstaufsicht
Fotograf	fotografierende Person; (Berufs-)Fotografie betreibende Person
Fotografen	Fotografierende; Aufnehmende
Fotografenteam	Fototeam; Fotografieteam
Fragensteller	fragende Person
Freelancer (pl.)	Freischaffende; Selbstständige;
Freiberufler (sg.)	freiberuflich arbeitende Person; freischaffende Person
Freigeber (sg.)	freigebende Person
Freiwilliger	freiwillige Person
Fremdsprachler	andere / fremde Sprache sprechende Person
Freund	(enge) Bezugsperson; Herzensmensch; Bekanntschaft; Lieblingsmensch; bessere Hälfte
... Hast du einen Freund?	... Bist du vergeben? Lebst du in einer Beziehung?
... Sasha ist meine Freundin.	... Ich bin mit Sasha zusammen. / Sasha ist mein Lieblingsmensch/meine bessere Hälfte. / Sasha ist die Person, die ich liebe.
Freunde (pl.)	Bekannte; Bezugspersonen; befreundete Personen
Freundeskreis	Personen in befreundeten Kreisen; peergroup; Bezugsgruppe
Friseur	frisierende Person; Frisiersalon
... Ich gehe heute zum Friseur.	... Ich gehe heute in den Frisiersalon. / Ich gehe heute zum Haare schneiden.
Friseure	Frisierende
Friseurtermin	Haarschneidetermin; Frisiertermin
Frühaufsteher (sg.)	Morgenmensch; Lerche
Frühbucherrabatt	Frühbuchungsrabatt
FSJler (pl.)	FSJ-Freiwillige
Führerschein	Fahrerlaubnis; Fahrberechtigung
Funktionär	in Funktion gewählte Person; verantwortliche/beauftragte/bevollmächtigte Person; Vollmachtsperson
Funktionsträger (sg.)	in Funktion gewählte Person; verantwortliche/beauftragte/bevollmächtigte Person
Fürsprecher (sg.)	Unterstützung; Unterstützungskraft; Support
Fürsprecher (pl.)	Mitwirkende; Beteiligte; Befürwortende; Support; Supportende; Fürsprechende
Fußballspieler (pl.)	Fußballspielende
Fußgänger (pl.)	Menschen zu Fuß; zu Fuß Gehende; Fußverkehr
Fußgängerampel	Ampel; Personenampel
Fußgängerstreifen	Zebrastreifen; Straßenpassierstreifen
Fußgängerüberweg	Überquerung
Fußgängerweg	Gehweg
Fußgängerzone	Flanierzone; Einkaufsstraße; Einkaufszone; verkehrsfreie Zone;
Gaffer (pl.)	Schaulustige
Gamechanger	Wendepunkt; Paradigmenwechsel
Gamer (pl.)	Gaming People
Gärtner	Gartenarbeitskraft
Gärtnerei	Gartenbaubetrieb
Gast	Besuch; Besuchsperson
Gastbeitrag	Sonderbeitrag
Gastfreundschaft	Gastlichkeit
Gäste	Eingeladene; Geladene; Besuche Ich bin mir unsicher, ob 'Gäste' im Plural nicht schon gendergerecht ist, analog zum Wort 'Menschen'. Im Duden ist der feminine Plural 'Gästinnen' allerdings zu finden.
Gästeführer	Reiseführung; Reiseleitung; (Tourguide)
Gastgeber (sg.)	einladende Person
Gastgeber (pl.)	Einladende
Gasthörer (pl.)	Studierende im Gaststudium
Gasthörerstatus	Gaststudierendenstatus; Gasthörstatus
Gasthörerstudium	Gaststudium; Hospitation
Gastronomen	Betreibende eines Gastronomiebetriebs
Gastwirt	Gastronomiebetriebsleitung
Gastwirte	Betreibende eines Gastronomiebetriebs
Gastwissenschaftler (pl.)	Gastforschende
Gatte	Heiratsperson
Gefreiter	Person mit zweitniedrigstem militärischen Mannschaftsdienstgrad
Gegenkandidat	Gegenkandidatur
Gegenspieler (sg.)	gegnerische Partei; widerstreitende Person; Counterpart; Konkurrenz
Gegenspieler (pl.)	gegnerische Partei; gegnerische Spielende; feindliche Spielende; Gegenseite; Konkurrenz
Gegner (sg.)	gegnerische Partei; widerstreitende Person; Counterpart; Konkurrenz; ablehnende Person
Gegner (pl.)	gegnerische Partei; gegnerische Spielende; feindliche Spielende; Gegenseite; Konkurrenz
Geisterfahrer	Fahrzeug in falscher Richtung; Geisterfahrzeug
Geldgeber (pl.)	Geldgebende; support; geldgebende Institution
Gelehrter	gelehrte Person
Generaldirektor	Direktoriumsleitung
Generalist	Universalgenie; Multitalent; fachlich breit aufgestellter Mensch
General Manager [Systemgastronomie, Hotellerie]	Verantwortungsperson im General Management
Genießer	Genussmensch
... Wanderung für Genießer	... Wanderung für Genussmenschen; ... Genusswanderung
Genosse	Mitglied der Genossenschaft
Genossenschaft	[ich bin mir unsicher, ob das Wort gendernswert ist oder nicht; analog Kundschaft, Freundschaft, …]
Gentlemen's Agreement	mündliche Vereinbarung; Vereinbarung per Handschlag; Absprache unter Ehrenleuten
Geograph	Person mit Fachwissen in Geographie; Mensch mit fundiertem Wissen über Geographie
Geologe	Person mit Fachwissen in Geologie; Mensch mit fundiertem Wissen über Geologie
Geologen	Forschende der Geologie
Gerätewart	Geräteaufsicht
Gerichtsvollzieher	Gerichtsvollzugsperson
Gerüstbauer	Fachkraft für Gerüstbauer
Geschäftsführer (sg.)	Geschäftsführung; Geschäftsleitung
Geschäftsmänner	Geschäftsleute
Geschäftspartner	geschäftliche Verbindung; geschäftlicher Kontakt
Geselle [im Handwerk]	neu ausgelernte Fachkraft
Gesellschafter [teilhabende Einzelperson]	im Besitz von Geschäftsanteilen stehende Person; Person mit Geschäftsanteilen
Gesellschafter (pl.)	Betriebsgesellschaft; Beteiligte; Gesellschaftende
Gesetzgeber	Legislative; gesetzgebende Instanz; Gesetzgebende
Gesprächspartner (sg.)	Gegenüber
Gesprächspartner (pl.)	Gesprächsbeteiligte; Gegenüber
Gesprächsteilnehmer (pl.)	Gesprächsbeteiligte
Gestalter (pl.)	Gestaltende
Gewinner (sg./pl.)	Erster Platz
Gläubiger (pl.)	Geld-/Kreditgebende
Globetrotter (pl.)	Weltreisende
Götter	Allwissende; Allmächtige; übernatürliche Wesen; Ewige; Gottheiten
Grafiker	Grafikprofi; Grafikfachperson; Person mit Grafikfachkenntnissen
Grenzgänger (pl.)	Grenzpendelnde
Grinsepeter	Grinsebacke; Grinsegesicht; Grinsekuchen; Sonnenschein
Grundeigentümer	Person mit Grundeigentum
Gründer	gründende Person
Gründerzeit	Gründungszeit
Gründerzentrum	Gründungszentrum; Innovationszentrum; Technologiezentrum
Grundrechtsträger (sg.)	grundrechtsberechtigte Person
Grundschüler (sg.)	Grundschulkind
Grundschüler (pl.)	Kinder in der Grundschule
Gruppenleiter (pl.)	Gruppenleitende; Gruppenleitung
Guide [Tourguide]	Reiseführung; Reiseleitung
Guru	spirituelles Vorbild / Idol
Gutachter (sg.)	begutachtet von ...
Gutachter (pl.)	Sachverständige; Begutachtende
Gymnasiast	Person auf einem Gymnasium; ein Gymnasium besuchende Person; gymnasial lernende Person
Gynäkologe	medizinisches/ärztliches Fachpersonal für Gynäkologie
Hacker (pl.)	Personen, die fremde Digitaldaten nutzen; Hackende; umfunktionierende Personen; Cyber-Kriminelle
Hackerangriff	Hackingangriff; Hackangriff
Hamburger (pl.)	die Hamburger Bevölkerung
Handelspartner (sg.)	Handelsallianz; Handelskontakt; Handelspartei
Handlanger	helfende Person; rechte Hand von jemandem
Händler	Shops; der Handel; Handelnde
Handwerker (sg.)	handwerkliches Fachpersonal; handwerkliche Fachkraft
Handwerker (pl.)	Handwerksbetriebe; Handwerksleute; Handwerkende; Fachpersonal im Handwerk
Handwerksmeister	Fachkraft mit Meisterbrief
ein Hansdampf (in allen Gassen)	Multitalent; Universalgenie; vielseitig begabter Mensch
Hauptcharakter	Hauptfigur; zentrale Gestalt; Schlüsselfigur; Titelrolle
Hauptfachlehrer (pl.)	Hauptfachgruppe; Fachgruppe
Häuptling	Oberhaupt
Hauptmänner	Hauptleute
Hauptmieter	Hauptmietpartei; Hauptmietperson; Hauptmietvertragsperson
Hausarzt	hausärztliche Fachkraft; Hauspraxis
Hauseigentümer (pl.)	Hauseigentum Innehabende
Hausdame (in Hotels)	Hausservice
Hausfrau	haushaltsführende Person; Haushalt organisierende Person; Haushaltsvorstand
Hausherr	Familienvorstand; Hausvorstand
Hausherren [in der Sportberichterstattung]	gastgebender Verein
Hausmannskost	einfache Küche; gut bürgerliche Küche; traditionell zubereitete Gerichte; Alltagsessen
Hausmeister (sg./pl.)	Gebäudemanagement
Hauswart	Hauswartung
Hebamme laut Hebammengesetz HebG §3
geburtshelfende Person	Begriff nicht ganz treffend, da zum Beruf auch Aufgaben außerhalb der direkten Geburtshilfe gehören: Betreuung in der Schwangerschaft
Abs. 2 gilt die Bezeichnung Hebamme für alle
und nach der Geburt
Berufsangehörigen
Hebammen laut Hebammengesetz HebG §3
Geburtshelfende	Begriff nicht ganz treffend, da zum Beruf auch Aufgaben außerhalb der direkten Geburtshilfe gehören: Betreuung in der Schwangerschaft und
Abs. 2 gilt die Bezeichnung Hebamme für alle
nach der Geburt
Berufsangehörigen
Heinzelmännchen	Heinzelchen
Held	Schlüsselperson; Hauptperson; außerordentlich erfolgreiche Person; Vorbild
Helfer (sg.)	Hilfskraft; Assistenz
Helfer (pl.)	Helfende
... ehrenamtliche Helfer (pl.)	Ehrenamtliche; Freiwillige; (ehrenamtlich) Engagierte
... Humanitäre Helfer (pl.)	... Humanitäre Helfende
Helfersystem	Hilfesystem
Herausgeber (sg./pl.)	herausgegeben von ...
Herr ...	...
... einer Sache Herr werden	... etwas in den Griff bekommen; etwas unter Kontrolle bekommen; etwas besser überblicken können
... nicht mehr Herr seiner Sinne sein	... nicht wissen, was man tut
... sein eigener Herr sein	... unabhängig sein; sich nach niemandem richten müssen
... aus aller Herren Länder	... aus aller Welt; aus der ganzen Welt
... Herr der Lage sein	... den Überblick haben; alles unter Kontrolle haben
Herrenfahrrad	Diamantrahmenfahrrad
Herrenhaus	Gutshaus
herrenlos	verlassen; nicht zuzuordnen; unbeaufsichtigt; personenlos; frei; besitzlos
... ein herrenloser Koffer	... ein verlassener/nicht zuordenbarer Koffer; ein Koffer, der keiner Person gehört
Herrschaften	Personen; Leute
Herrscher (sg.)	Staatsoberhaupt
Hersteller (sg.)	Herstellfirma; herstellendes Unternehmen
Hexe	Zauberkraft innehabende Person; Person mit Zauberkräften; mit Zauberkräften ausgestattete Person; Person, die Zauberkraft hat
Hinterbliebener	hinterbliebene Person; zurückgelassene Person
Hinterbliebene	[im Plural ist dieses Wort schon gendergerecht]
Hintermann	Graue Eminenz; Schlüsselfigur; aus dem Hinterzimmer; drahtziehende Person; dahinter steckt/steht ... ; verantwortliche Person
Hintermänner	Schlüsselfiguren; aus dem Hinterzimmer; Hinterleute; Verantwortliche
Hinweisgeber (sg.)	Hinweis gebende Person
Hinterbliebene (pl.)	[im Plural ist dieses Wort schon gendergerecht]
Hirte	hütende Person
Historiker (pl.)	Geschichtsforschende
Hörer (sg.)	zuhörende Person
Hörer (pl.)	zuhörende Personen
Hospitant	hospitierende Person
Hospitanten	Hospitierende
Hostessen; Hosts	Gästebetreuende siehe Anmerkung unter 'Gäste'
Humanist	humanistische Person
Hundehalter (sg.)	Person, die einen Hund hält
Ich-Erzähler	Ich-Form; Ich-Figur; erzählendes Ich
Ikone	bereits genderneutral
Illustrator	illustrierende Person
Illustratoren	Illustrierende
Imker	Bienenzüchtende Person
Immigranten (pl.)	Menschen mit Migrationshintergrund /-geschichte /-biografie
Immobilienbesitzer (pl.)	Immobilienbesitzende
Immobilieneigentümer (pl.)	Personen mit Immobilienbesitz; Immobilienbesitzende
Immobilienkaufmann	Immobilienfachkraft
Individuum	[als Neutrum ist dieses Wort schon gendergerecht: DAS Individuum]
Industriekaufmänner	Industriekaufleute
Industriemechaniker (sg.)	Industriemechanik ausführende Person
Influencer (sg.)	Content gestaltende Person; influencende Person
Informant	Informationsquelle; Quelle
Informatiker (sg.)	auf den IT-Bereich spezialisierte Person
Informationssicherheitsbeauftragter	beauftragte Person für Informationssicherheit
(Diplom-)Ingenieur	Person mit Ingenieursdiplom
Ingenieurberuf	Ingenieursberuf
Ingenieure (pl.)	Ingenieursberuf Ausübende
Ingenieurwesen	Technikwissenschaften; technische Wissenschaften; Technik
Inhaber (sg.)	etwas innehabende Person
inhabergeführt	besitzgeführter; besitzgeleiteter
Inhaber (pl.)	Inhabende
Inhaftierter	Person in Haft
Initiator	initiierende Person
Initiatoren	Initiierende
Inlineskater (pl.)	Inlineskatende
Insider (sg.)	Person, die Internas kennt / weiß; Person mit besonderem Hintergrundwissen
Inspekteur	Inspektion durchführende Person
Insasse (sg.)	inhaftierte Person
Insasse [Fahrzeuginsasse]	mitfahrende Person
Intendant	Intendanz
Interakteur	interagierende Person; 
Interakteure	Interagierende; in Interaktion Tretende
Interessensvertreter	Interessensvertretung
Interessenten (pl.)	Interessierte
Interessenträger	interessierte Beteiligte
Interimspräsident	Übergangsleitung
Internist	ärztliche Fachkraft für Innere Medizin
Interpret	Act
Interviewer (sg.)	interviewende Person
Interviewer (pl.)	Interviewende
Interviewpartner (pl.)	Interviewte; Befragte
Investor	geldgebende Person; Person, die Geld investiert hat; investierende Person
Investoren	Investierende
Italiener	aus Italien stammende Person; Person aus Italien
Jäger (sg.)	jagende Person; Person auf der Jagd
Jäger (pl.)	Jägerschaft; jagende Personen; Personen auf der Jagd
Jäger- und Sammler-Gesellschaft	nomadisierende Gesellschaft, die sich von der Jagd und dem Sammeln von Pflanzen ernährt
Jahrgangsbester	jahrgangsbeste Person
jeder	alle; alle für sich; sämtliche
... Jeder kann teilnehmen.	... Alle können teilnehmen.
... Jeder einzelne sucht sich einen Platz.	... Alle suchen sich ihren eigenen Platz. / Alle suchen für sich einen Platz. / Suche dir deinen Platz.
... jeder, der ...	... alle, die ... ; jene, die ...
... jeder Mitarbeiter	... sämtliche Mitarbeitenden
... jeder wie er möchte	... alle wie sie möchten
... Jedem das Seine. Der Gebrauch dieser
Redewendung ist unabhängig von
... Geschmäcker sind verschieden.
gendergerechter Sprache umstritten, da sie am
Eingang des KZ Buchenwald prangte.
jedermann	alle; sämtliche; jeder Mensch
jemand, der ...	eine Person, die ...; ein Mensch, der ...
... Ich suche jemanden, der gut Englisch spricht.	... Ich suche jemanden/eine Person/einen Mensch mit guten Englischkenntnissen.
Journalist	Presse; Medien; jemand von der Presse/vom Fernsehen/...; wer für die Zeitung/fürs Fernsehen berichtet
Journalisten	im Journalismus Tätige/Arbeitende; Medienschaffende; Presse; die Medien
Jubilar	Jubiläum begehende Person; Jubiläum feiernde Person
Juden (pl.)	Menschen jüdischen Glaubens; jüdische Menschen; Mitglieder / Angehörige der jüdischen Gemeinschaft / des jüdischen Volkes
Jugendlicher (sg.)	junge Person; junger Mensch; Teenie; Teen; Teenager
jungfräulich	unangetastet; makellos; unberührt; unverändert; ursprünglich; rein; frisch; unerschlossen; unbearbeitet
Jurist	Person mit juristischer Ausbildung; Person mit juristischem Sachverstand
Juror	Jurymitglied
Justiziar	rechtsberatende Person
Kamerad [militärisch]	Wegbegleitung; solidarisch wegbegleitende Person; Teammitglied
Kameramann	Kameraperson; Kamera
Kameramänner	Kamerateam; Kameraleute; Kamera; Kamerapersonen
Kämmerer	Leitung der Kämmerei
Kampfrichter (pl.)	Kampfjury; Schiedsgericht
Kampfrichterverzerrung	Verzerrung durch Kampfrichtende
Kandidaten	Kandidierende
Kandidatenfrage	Personalfrage; K-Frage
Kandidatenvorschlag	Personalvorschlag
Kanzler	Regierung (an-)führende Person; Regierungsoberhaupt
Kanzleramt	Amt des Regierungsoberhauptes
Kanzler-Frage	K-Frage
Kapitalgeber (pl.)	Investierende; Finanzierende
Kapitäne (pl.)	Schiffsführende
Karnevalisten	Karneval Feiernde
Karteninhaber (sg.)	die Karte besitzende Person; karteninhabende Person; Publikum
Kassenwart	Kassenverwaltung; Finanzverwaltung; Vermögensverwaltung
Kassierer (sg.)	Person an der Kasse
Katholiken	Menschen katholischen Glaubens
Käufer (pl.)	Kaufende; Kundschaft
Kaufmann	Kauffachkraft
... Kaufmann für Büromanagement	... Kauffachkraft für Büromanagement
Kaufmänner	Kaufleute
kaufmännisch	zahlentechnisch; finanztechnisch; in Zahlen gesehen; kauftechnisch; in Zahlen gesehen; buchungstechnisch; fiskalisch; (markt-)wirtschaftlich; ökonomisch; geschäftlich; gewerblich; kommerziell
... eine kaufmännische Ausbildung	... Ausbildung zur Fachkraft für Büromanagement
... ein kaufmännischer Beruf	... Berufsfeld Wirtschaft
keiner	niemand
keiner, der ...	kein Mensch, der ...; keine Person, die ...
Kellner (sg.)	Servicekraft; Bedienung
Kenner (pl.)	Fachleute; Begeisterte
Keramiker (sg.)	Keramikfachkraft
Kernwählerschaft	Kernwahlvolk; Kernstimmvolk
Keyplayer (sg.)	Schlüsselfigur
KfZ-Mechaniker	KfZ-Mechanik-Fachkraft
KfZ-Mechaniker-Innung	KfZ-Handwerks-Innung; KfZ-Innung; KfZ-Mechanik-Innung; Innung der KfZ-Mechanik
Kinderarztpraxis	Praxis für Kinderheilkunde
Kindergärtner	pädagogische Fachkraft; Erziehungskraft; Kita-Fachkraft
Kindermädchen	Kinderbetreuung; Aupair
Kindertagepfleger	Kindertagespflegeperson
Kläger (sg.)	klagende Person
Klassenkamerad	Person aus der eigenen Schulklasse
Klassensprecher	Klassenvertretung
Kleinbauern	kleine Landwirtschaftsbetriebe
Kletterer (sg.)	kletterbegeisterte Person; kletternde Person
Kletterer (pl.)	Kletternde; Kletterbegeisterte
Klient	ratsuchende Person; Beratung in Anspruch nehmende Person; Person, die in die Beratung kommt; Fall; Besuch
Klienten	Klientel; Ratsuchende
Klientenkontakt	Klientelkontakt
klientenorientiert	orientiert am Bedarf der ratsuchenden Person
Klientenzahl	Zahl der Ratsuchenden
Klimaschützer (pl.)	Klimaschützende
Koch	leitende Küchenfachkraft; Küchenpersonal; Kochprofi; Lebensmittel verarbeitende Person; in der Küche arbeitende Person; kochende Person; für das leibiche Wohl zuständige Person
Kollege	mitarbeitende Person; Teammitglied
Kollegen	Kollegschaft; Kollegium; Teammitglieder; Team
... Unterstützung eines Kollegen	... kollegiale Unterstützung
Kolonialherr	Kolonialmacht; Suzerän
Kolonialherren	Kolonialmächte
Kolonist	Koloniegründung; Kolonieerschließung
Komiteegründer	Komiteegründung
Kommentator	kommentierender Pressemensch; kommentierende Presse; Kommentar
Kommentatoren	Kommentare; Kommentar von Medienschaffenden
Kommilitone (sg.)	mitstudierende Person
Kommilitonen (pl.)	Mitstudierende
Kommissionierer	Mitarbeitende in der Warenzusammenstellung
Kommunikator [als Person; nicht als Gerät]	kommunizierende Person
Kommunist	kommunistisch (orientierte) Person
Komparse	stumme Rolle; Person ohne Sprechrolle; Nebenfigur
Kompetenzträger (sg.)	Kompetenz tragende Person
Kompetenzträger (pl.)	Kompetenztragende
Komponist	musikschaffende Person; kompositionstätige Person
Komponisten	Musikschaffende; Kompositionstätige
Konfirmand	zu konfirmierende Person; Konfi
Konfirmanden	zu Konformierende; Konfis
Konfirmanden (pl.)	Jugendliche in der Konfirmationsvorbereitung
Konfirmandenunterricht	Konfirmationsunterricht
Königsdisziplin	anspruchvollste Disziplin; Spitzendisziplin
Königsklasse	Oberliga; höchste Klasse
Konkurrent	Konkurrenz
Konsortialpartner (pl.)	Konsortialbeteiligte
Konstrukteure	Konstruierende
